"dates";"SMB_val"
"2018-05-11";0.10625565997037217
"2018-05-10";-0.0005991084812865463
"2018-05-09";-0.05009127379365212
"2018-05-08";-0.0377364341199118
"2018-05-07";-0.13682016846763345
"2018-05-04";-0.013789171153751643
"2018-05-03";0.027225309392227913
"2018-05-02";0.0008537154852648887
"2018-05-01";0.016132022383219594
"2018-04-30";-0.13296738979087974
"2018-04-27";0.04782074307293048
"2018-04-26";0.1141728233109417
"2018-04-25";0.07541045276135877
"2018-04-24";0.027486063685410258
"2018-04-23";0.03896409542811788
"2018-04-20";-0.041662302542531435
"2018-04-19";0.02904627761485918
"2018-04-18";-0.15792715296867438
"2018-04-17";0.12100568883200064
"2018-04-16";-0.009168835627866377
"2018-04-13";-0.08405890153654495
"2018-04-12";-0.017614581296067112
