"d1";"HML_val"
"2018-04-10";14.0912
"2018-04-09";14.365399999999998
"2018-04-06";14.366399999999995
"2018-04-05";14.508600000000003
"2018-04-04";14.526800000000001
"2018-04-03";14.719800000000003
"2018-04-02";14.443000000000005
"2018-03-29";17.1332
"2018-03-28";17.074800000000007
"2018-03-27";16.963833333333337
"2018-03-26";17.44916666666667
"2018-03-23";16.9784
"2018-03-22";17.282200000000003
"2018-03-21";17.7262
"2018-03-20";17.712600000000002
"2018-03-19";17.355800000000002
"2018-03-16";17.503199999999996
"2018-03-15";17.683600000000006
"2018-03-14";17.603500000000007
"2018-03-13";17.390833333333333
"2018-03-12";17.353833333333334
"2018-03-09";17.384399999999996
"2018-03-08";17.445166666666672
"2018-03-07";17.109283333333327
"2018-03-06";16.98133333333333
"2018-03-05";17.147166666666667
